Order_ID,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Discount,Payment_Method,Order_Date,Sales
ORD10026,CUST2439,Aarav Pawar,57,Male,Pune,Laptop,Electronics,5,55000,0.15,UPI,2025-12-02,233750.0
ORD10027,CUST1562,Aarav Kulkarni,35,Female,Delhi,Camera,Electronics,5,35000,0.1,UPI,2025-03-08,157500.0
ORD10028,CUST2351,Neha Deshmukh,24,Female,Kolkata,Headphones,Electronics,1,2500,0.15,UPI,2025-01-20,2125.0
ORD10029,CUST1112,Ananya Sharma,44,Male,Bengaluru,Tablet,Electronics,5,22000,0.1,Credit Card,2025-05-21,99000.0
ORD10030,CUST1792,Sneha Shah,56,Female,Nashik,Keyboard,Accessories,4,1800,0.15,Net Banking,2025-03-28,6120.0
ORD10031,CUST1302,Neha Shah,47,Female,Pune,Printer,Office,3,12000,0.05,Cash,2025-07-12,34200.0
ORD10032,CUST1136,Arjun Shah,40,Male,Ahmedabad,Headphones,Electronics,2,2500,0.1,Credit Card,2025-08-26,4500.0
ORD10033,CUST1333,Ananya Khan,37,Female,Bengaluru,Mouse,Accessories,2,900,0.1,UPI,2025-12-29,1620.0
ORD10034,CUST2027,Aarav Shah,40,Female,Hyderabad,Headphones,Electronics,1,2500,0.05,UPI,2025-11-30,2375.0
ORD10035,CUST2186,Pooja More,43,Female,Hyderabad,Tablet,Electronics,2,22000,0.15,UPI,2025-12-25,37400.0
ORD10036,CUST2536,Riya Verma,65,Female,Kolkata,Mouse,Accessories,2,900,0.2,Debit Card,2025-02-20,1440.0
ORD10037,CUST1077,Rohan Khan,64,Female,Nashik,Printer,Office,3,12000,0.1,Debit Card,2025-10-23,32400.0
ORD10038,CUST1185,Meera Kulkarni,31,Male,Nashik,Tablet,Electronics,3,22000,0.05,Debit Card,2025-03-22,62700.0
ORD10039,CUST2910,Sneha Gupta,65,Female,Delhi,Mobile Phone,Electronics,4,25000,0.1,UPI,2025-09-05,90000.0
ORD10040,CUST1570,Rahul Khan,48,Female,Kolkata,Keyboard,Accessories,1,1800,0.15,Net Banking,2025-11-17,1530.0
ORD10041,CUST2504,Ananya Singh,44,Female,Mumbai,Printer,Office,2,12000,0.1,Credit Card,2025-01-22,21600.0
ORD10042,CUST2187,Neha Sharma,26,Male,Nashik,Mobile Phone,Electronics,4,25000,0.0,Credit Card,2025-01-17,100000.0
ORD10043,CUST2045,Priya Khan,40,Female,Kolkata,Camera,Electronics,1,35000,0.1,Cash,2025-05-13,31500.0
ORD10044,CUST2601,Meera Sharma,27,Male,Bengaluru,Printer,Office,2,12000,0.0,UPI,2025-07-28,24000.0
ORD10045,CUST2602,Vikram Singh,64,Female,Bengaluru,Camera,Electronics,2,35000,0.15,UPI,2025-10-09,59500.0
ORD10046,CUST1953,Arjun Khan,40,Male,Hyderabad,Mouse,Accessories,3,900,0.05,Credit Card,2025-10-30,2565.0
ORD10047,CUST2322,Rahul Singh,27,Female,Delhi,Mobile Phone,Electronics,5,25000,0.1,Debit Card,2025-09-30,112500.0
ORD10048,CUST1299,Suresh Gupta,19,Male,Nashik,Keyboard,Accessories,1,1800,0.15,Credit Card,2025-10-08,1530.0
ORD10049,CUST2306,Arjun Patil,54,Female,Nagpur,Tablet,Electronics,2,22000,0.0,Debit Card,2025-06-03,44000.0
ORD10050,CUST2987,Meera Singh,57,Male,Mumbai,Smartwatch,Electronics,1,6000,0.0,UPI,2025-11-30,6000.0
ORD10051,CUST1472,Neha Patil,55,Female,Hyderabad,Headphones,Electronics,4,2500,0.05,UPI,2025-01-02,9500.0
ORD10052,CUST1410,Pooja Shah,55,Male,Delhi,Laptop,Electronics,4,55000,0.05,UPI,2025-09-02,209000.0
ORD10053,CUST2416,Suresh More,18,Female,Pune,Keyboard,Accessories,5,1800,0.05,Net Banking,2025-11-20,8550.0
ORD10054,CUST1687,Suresh Shah,65,Male,Nashik,Mobile Phone,Electronics,2,25000,0.2,Debit Card,2025-03-13,40000.0
ORD10055,CUST1165,Kavya Patil,35,Male,Kolkata,Smartwatch,Electronics,3,6000,0.15,UPI,2025-04-21,15300.0
ORD10056,CUST2992,Riya Kulkarni,52,Male,Chennai,Keyboard,Accessories,2,1800,0.15,UPI,2025-11-13,3060.0
ORD10057,CUST2106,Aarav Gupta,24,Female,Hyderabad,Mobile Phone,Electronics,1,25000,0.15,Cash,2025-11-21,21250.0
ORD10058,CUST1658,Amit Gupta,61,Female,Delhi,Monitor,Electronics,4,14000,0.05,UPI,2025-03-26,53200.0
ORD10059,CUST2740,Rahul Shah,59,Male,Pune,Monitor,Electronics,1,14000,0.05,Credit Card,2025-02-19,13300.0
ORD10060,CUST1164,Riya Sharma,39,Female,Delhi,Camera,Electronics,5,35000,0.05,Credit Card,2025-01-04,166250.0
ORD10061,CUST1104,Neha Khan,42,Female,Chennai,Keyboard,Accessories,4,1800,0.15,Credit Card,2025-01-28,6120.0
ORD10062,CUST2154,Suresh Singh,59,Male,Nashik,Monitor,Electronics,3,14000,0.1,Credit Card,2025-07-07,37800.0
ORD10063,CUST1596,Pooja Shah,40,Female,Delhi,Mobile Phone,Electronics,4,25000,0.05,Debit Card,2025-06-18,95000.0
ORD10064,CUST1120,Rahul Shah,26,Male,Chennai,Camera,Electronics,2,35000,0.05,UPI,2025-03-12,66500.0
ORD10065,CUST1259,Aditya More,44,Male,Delhi,Mobile Phone,Electronics,2,25000,0.1,UPI,2025-11-16,45000.0
ORD10066,CUST2128,Rahul Deshmukh,28,Female,Nashik,Camera,Electronics,4,35000,0.1,Net Banking,2025-09-10,126000.0
ORD10067,CUST1364,Ananya Shah,44,Male,Nashik,Keyboard,Accessories,5,1800,0.15,Debit Card,2025-12-09,7650.0
ORD10068,CUST2570,Amit Shah,57,Male,Bengaluru,Smartwatch,Electronics,2,6000,0.05,UPI,2025-09-05,11400.0
ORD10069,CUST2918,Vikram Sharma,45,Female,Ahmedabad,Tablet,Electronics,2,22000,0.15,Credit Card,2025-09-27,37400.0
ORD10070,CUST1369,Ananya Patil,35,Female,Pune,Printer,Office,3,12000,0.05,UPI,2025-04-19,34200.0
ORD10071,CUST2902,Neha Pawar,53,Male,Nashik,Smartwatch,Electronics,4,6000,0.1,Credit Card,2025-03-05,21600.0
ORD10072,CUST2710,Meera Shah,51,Male,Pune,Mouse,Accessories,2,900,0.15,UPI,2025-07-19,1530.0
ORD10073,CUST1958,Ananya Patil,30,Female,Bengaluru,Mobile Phone,Electronics,5,25000,0.15,UPI,2025-08-20,106250.0
ORD10074,CUST2350,Neha Patil,63,Female,Chennai,Mouse,Accessories,1,900,0.0,Credit Card,2025-12-22,900.0
ORD10075,CUST2768,Priya Joshi,47,Female,Nashik,Smartwatch,Electronics,4,6000,0.05,UPI,2025-10-12,22800.0
ORD10076,CUST2209,Vikram Deshmukh,45,Male,Chennai,Camera,Electronics,3,35000,0.1,Credit Card,2025-04-26,94500.0
ORD10077,CUST1394,Neha Verma,39,Female,Mumbai,Printer,Office,2,12000,0.05,Net Banking,2025-11-25,22800.0
ORD10078,CUST2368,Suresh Verma,41,Male,Delhi,Printer,Office,5,12000,0.1,UPI,2025-05-04,54000.0
ORD10079,CUST1530,Rahul Pawar,64,Female,Nagpur,Laptop,Electronics,4,55000,0.15,Credit Card,2025-03-24,187000.0
ORD10080,CUST2441,Rohan Joshi,47,Male,Hyderabad,Printer,Office,5,12000,0.0,Credit Card,2025-09-23,60000.0
ORD10081,CUST2255,Arjun Singh,62,Female,Kolkata,Tablet,Electronics,5,22000,0.1,Cash,2025-07-23,99000.0
ORD10082,CUST1135,Neha Gupta,55,Male,Pune,Printer,Office,3,12000,0.0,UPI,2025-05-15,36000.0
ORD10083,CUST1045,Amit Patil,37,Female,Chennai,Smartwatch,Electronics,4,6000,0.15,Debit Card,2025-06-10,20400.0
ORD10084,CUST1624,Kavya Pawar,23,Male,Nashik,Laptop,Electronics,2,55000,0.2,Debit Card,2025-12-26,88000.0
ORD10085,CUST2516,Sneha Singh,50,Female,Ahmedabad,Smartwatch,Electronics,3,6000,0.1,Net Banking,2025-08-31,16200.0
ORD10086,CUST1925,Suresh Sharma,64,Female,Delhi,Smartwatch,Electronics,2,6000,0.0,UPI,2025-01-13,12000.0
ORD10087,CUST1595,Riya Pawar,55,Male,Pune,Headphones,Electronics,1,2500,0.15,Net Banking,2025-11-25,2125.0
ORD10088,CUST2446,Rohan Verma,32,Male,Delhi,Laptop,Electronics,5,55000,0.1,Debit Card,2025-03-23,247500.0
ORD10089,CUST2575,Amit Singh,32,Male,Kolkata,Smartwatch,Electronics,1,6000,0.05,Credit Card,2025-12-28,5700.0
ORD10090,CUST1766,Suresh Patil,49,Male,Chennai,Headphones,Electronics,5,2500,0.15,UPI,2025-04-27,10625.0
ORD10091,CUST2945,Sneha Patil,31,Male,Chennai,Headphones,Electronics,3,2500,0.2,Debit Card,2025-03-25,6000.0
ORD10092,CUST2169,Riya Joshi,59,Male,Bengaluru,Laptop,Electronics,2,55000,0.1,UPI,2025-01-22,99000.0
ORD10093,CUST2341,Arjun Kulkarni,25,Female,Kolkata,Mouse,Accessories,2,900,0.1,Net Banking,2025-05-14,1620.0
ORD10094,CUST2587,Aditya Kulkarni,53,Female,Nashik,Camera,Electronics,3,35000,0.05,UPI,2025-11-06,99750.0
ORD10095,CUST1293,Ananya Khan,39,Male,Bengaluru,Tablet,Electronics,4,22000,0.1,Debit Card,2025-03-27,79200.0
ORD10096,CUST2603,Arjun Patil,55,Male,Nagpur,Camera,Electronics,1,35000,0.05,UPI,2025-11-01,33250.0
ORD10097,CUST1536,Meera Singh,37,Female,Mumbai,Printer,Office,1,12000,0.05,UPI,2025-12-23,11400.0
ORD10098,CUST1634,Priya Verma,41,Male,Kolkata,Tablet,Electronics,2,22000,0.0,Cash,2025-07-10,44000.0
ORD10099,CUST1466,Rohan Patil,38,Male,Delhi,Printer,Office,2,12000,0.05,Net Banking,2025-04-01,22800.0
ORD10100,CUST1049,Riya Joshi,45,Male,Mumbai,Smartwatch,Electronics,2,6000,0.0,UPI,2025-06-27,12000.0
ORD10101,CUST1661,Rahul More,40,Male,Delhi,Mobile Phone,Electronics,3,25000,0.1,Net Banking,2025-04-17,67500.0
ORD10102,CUST1459,Vikram Khan,41,Male,Bengaluru,Laptop,Electronics,4,55000,0.1,Credit Card,2025-02-02,198000.0
ORD10103,CUST1697,Meera Khan,56,Female,Chennai,Tablet,Electronics,1,22000,0.1,UPI,2025-05-07,19800.0
ORD10104,CUST1762,Amit Deshmukh,61,Male,Delhi,Tablet,Electronics,5,22000,0.05,Credit Card,2025-01-14,104500.0
ORD10105,CUST1425,Rohan Joshi,40,Female,Mumbai,Smartwatch,Electronics,3,6000,0.05,UPI,2025-08-02,17100.0
ORD10106,CUST2681,Vikram Kulkarni,21,Female,Hyderabad,Mouse,Accessories,1,900,0.15,UPI,2025-12-06,765.0
ORD10107,CUST1755,Aditya Pawar,63,Female,Delhi,Headphones,Electronics,4,2500,0.1,Credit Card,2025-08-09,9000.0
ORD10108,CUST1877,Neha Patil,21,Male,Mumbai,Smartwatch,Electronics,3,6000,0.2,UPI,2025-03-27,14400.0
ORD10109,CUST2894,Amit Shah,47,Male,Bengaluru,Monitor,Electronics,1,14000,0.05,UPI,2025-05-28,13300.0
ORD10110,CUST1661,Rahul Pawar,65,Male,Hyderabad,Headphones,Electronics,3,2500,0.1,UPI,2025-04-21,6750.0
ORD10111,CUST1068,Pooja Gupta,45,Male,Chennai,Laptop,Electronics,1,55000,0.0,Debit Card,2025-11-06,55000.0
ORD10112,CUST1509,Neha More,48,Female,Nagpur,Headphones,Electronics,1,2500,0.1,Net Banking,2025-06-19,2250.0
ORD10113,CUST1736,Ananya More,50,Male,Nashik,Mouse,Accessories,4,900,0.15,UPI,2025-03-04,3060.0
ORD10114,CUST1210,Amit Khan,36,Female,Bengaluru,Headphones,Electronics,5,2500,0.15,UPI,2025-08-10,10625.0
ORD10115,CUST1704,Pooja Verma,27,Female,Nagpur,Laptop,Electronics,4,55000,0.2,Debit Card,2025-11-15,176000.0
ORD10116,CUST2324,Rahul Sharma,42,Female,Bengaluru,Mouse,Accessories,1,900,0.05,Net Banking,2025-05-13,855.0
ORD10117,CUST1124,Rohan Gupta,54,Male,Kolkata,Camera,Electronics,3,35000,0.1,Debit Card,2025-05-25,94500.0
ORD10118,CUST1796,Vikram More,30,Female,Delhi,Tablet,Electronics,4,22000,0.1,UPI,2025-11-21,79200.0
ORD10119,CUST1292,Amit Khan,23,Female,Mumbai,Tablet,Electronics,5,22000,0.1,UPI,2025-04-08,99000.0
ORD10120,CUST1421,Ananya Shah,47,Male,Ahmedabad,Printer,Office,1,12000,0.0,UPI,2025-04-03,12000.0
ORD10121,CUST2919,Meera Khan,40,Male,Mumbai,Camera,Electronics,4,35000,0.15,UPI,2025-04-19,119000.0
ORD10122,CUST1812,Arjun Patil,53,Male,Hyderabad,Camera,Electronics,4,35000,0.15,UPI,2025-12-27,119000.0
ORD10123,CUST1050,Pooja More,33,Male,Nashik,Headphones,Electronics,4,2500,0.05,UPI,2025-10-21,9500.0
ORD10124,CUST2905,Amit Khan,25,Male,Kolkata,Tablet,Electronics,4,22000,0.05,UPI,2025-05-29,83600.0
ORD10125,CUST1183,Neha Sharma,33,Male,Kolkata,Laptop,Electronics,3,55000,0.0,UPI,2025-06-01,165000.0
ORD10126,CUST1247,Arjun Pawar,28,Male,Bengaluru,Keyboard,Accessories,5,1800,0.1,Credit Card,2025-11-09,8100.0
ORD10127,CUST2112,Ananya Sharma,18,Female,Ahmedabad,Keyboard,Accessories,5,1800,0.05,Net Banking,2025-08-31,8550.0
ORD10128,CUST1650,Pooja Pawar,39,Male,Delhi,Mouse,Accessories,1,900,0.15,Net Banking,2025-02-08,765.0
ORD10129,CUST1550,Aarav Patil,35,Female,Hyderabad,Tablet,Electronics,2,22000,0.1,UPI,2025-05-30,39600.0
ORD10130,CUST1561,Riya More,53,Male,Delhi,Tablet,Electronics,3,22000,0.1,Credit Card,2025-03-20,59400.0
ORD10131,CUST1072,Vikram Khan,28,Female,Kolkata,Keyboard,Accessories,1,1800,0.1,Debit Card,2025-01-31,1620.0
ORD10132,CUST1770,Pooja Singh,37,Male,Kolkata,Tablet,Electronics,1,22000,0.0,UPI,2025-01-27,22000.0
ORD10133,CUST1556,Aarav Singh,27,Female,Hyderabad,Headphones,Electronics,4,2500,0.15,Net Banking,2025-04-19,8500.0
ORD10134,CUST2315,Amit More,65,Male,Nashik,Monitor,Electronics,2,14000,0.1,Net Banking,2025-02-13,25200.0
ORD10135,CUST1504,Aditya Joshi,27,Male,Pune,Mobile Phone,Electronics,2,25000,0.2,UPI,2025-02-25,40000.0
ORD10136,CUST1628,Vikram Patil,54,Female,Nashik,Camera,Electronics,3,35000,0.1,Debit Card,2025-08-22,94500.0
ORD10137,CUST1661,Aarav More,39,Female,Nagpur,Printer,Office,2,12000,0.1,Credit Card,2025-02-24,21600.0
ORD10138,CUST2337,Suresh Khan,28,Male,Pune,Mouse,Accessories,1,900,0.0,UPI,2025-09-19,900.0
ORD10139,CUST2883,Riya Singh,52,Female,Ahmedabad,Monitor,Electronics,2,14000,0.1,UPI,2025-10-01,25200.0
ORD10140,CUST2815,Aditya Sharma,26,Male,Nashik,Keyboard,Accessories,2,1800,0.15,UPI,2025-10-21,3060.0
ORD10141,CUST2312,Rohan More,32,Male,Hyderabad,Camera,Electronics,5,35000,0.15,Cash,2025-12-20,148750.0
ORD10142,CUST2754,Aarav Khan,36,Female,Mumbai,Tablet,Electronics,1,22000,0.15,Net Banking,2025-05-13,18700.0
ORD10143,CUST1508,Aditya Khan,54,Male,Hyderabad,Printer,Office,2,12000,0.05,UPI,2025-06-22,22800.0
ORD10144,CUST2095,Rohan Patil,23,Male,Bengaluru,Tablet,Electronics,2,22000,0.2,Debit Card,2025-03-12,35200.0
ORD10145,CUST1161,Suresh More,53,Male,Kolkata,Laptop,Electronics,4,55000,0.2,UPI,2025-04-21,176000.0
ORD10146,CUST2809,Priya Patil,61,Male,Mumbai,Laptop,Electronics,2,55000,0.0,Debit Card,2025-10-26,110000.0
ORD10147,CUST1127,Pooja Sharma,22,Male,Bengaluru,Printer,Office,2,12000,0.15,Cash,2025-03-22,20400.0
ORD10148,CUST2480,Vikram Gupta,20,Male,Bengaluru,Printer,Office,5,12000,0.05,UPI,2025-11-30,57000.0
ORD10149,CUST2706,Priya Pawar,27,Female,Bengaluru,Keyboard,Accessories,1,1800,0.1,UPI,2025-07-13,1620.0
ORD10150,CUST2553,Aarav Deshmukh,30,Male,Nagpur,Printer,Office,3,12000,0.05,UPI,2025-01-22,34200.0
ORD10151,CUST2328,Amit More,21,Male,Bengaluru,Headphones,Electronics,1,2500,0.2,Net Banking,2025-10-27,2000.0
ORD10152,CUST1490,Neha Pawar,57,Female,Kolkata,Tablet,Electronics,4,22000,0.0,UPI,2025-12-15,88000.0
ORD10153,CUST1239,Kavya Singh,50,Male,Nagpur,Monitor,Electronics,1,14000,0.1,UPI,2025-08-29,12600.0
ORD10154,CUST1176,Amit Deshmukh,51,Male,Mumbai,Smartwatch,Electronics,2,6000,0.05,Debit Card,2025-08-18,11400.0
ORD10155,CUST1210,Arjun Joshi,53,Female,Chennai,Printer,Office,4,12000,0.05,UPI,2025-06-27,45600.0
ORD10156,CUST2593,Aditya Shah,50,Female,Nagpur,Mouse,Accessories,1,900,0.1,Debit Card,2025-04-17,810.0
ORD10157,CUST1359,Ananya Sharma,38,Male,Delhi,Laptop,Electronics,4,55000,0.0,Credit Card,2025-07-28,220000.0
ORD10158,CUST2213,Neha Pawar,56,Female,Delhi,Headphones,Electronics,3,2500,0.1,Debit Card,2025-05-31,6750.0
ORD10159,CUST2533,Priya Pawar,22,Female,Mumbai,Camera,Electronics,1,35000,0.2,Credit Card,2025-05-21,28000.0
ORD10160,CUST2580,Kavya Gupta,62,Female,Mumbai,Smartwatch,Electronics,2,6000,0.15,UPI,2025-08-11,10200.0
ORD10161,CUST2943,Rohan Patil,30,Male,Bengaluru,Monitor,Electronics,4,14000,0.15,Net Banking,2025-03-20,47600.0
ORD10162,CUST2996,Neha Kulkarni,57,Male,Mumbai,Smartwatch,Electronics,5,6000,0.05,Credit Card,2025-12-03,28500.0
ORD10163,CUST1634,Riya Kulkarni,34,Male,Bengaluru,Printer,Office,4,12000,0.05,Debit Card,2025-03-27,45600.0
ORD10164,CUST2845,Neha Singh,27,Female,Hyderabad,Keyboard,Accessories,5,1800,0.1,Credit Card,2025-08-27,8100.0
ORD10165,CUST2057,Aarav Kulkarni,27,Female,Nashik,Laptop,Electronics,2,55000,0.0,Cash,2025-12-10,110000.0
ORD10166,CUST1501,Riya More,19,Female,Ahmedabad,Laptop,Electronics,3,55000,0.15,UPI,2025-07-31,140250.0
ORD10167,CUST1312,Rahul Shah,55,Male,Nashik,Camera,Electronics,5,35000,0.0,Debit Card,2025-09-09,175000.0
ORD10168,CUST2564,Rohan Joshi,38,Male,Nagpur,Keyboard,Accessories,3,1800,0.15,UPI,2025-08-30,4590.0
ORD10169,CUST2175,Rahul More,18,Male,Pune,Tablet,Electronics,4,22000,0.0,UPI,2025-03-05,88000.0
ORD10170,CUST2599,Arjun Shah,47,Female,Nashik,Mobile Phone,Electronics,2,25000,0.15,Cash,2025-01-06,42500.0
ORD10171,CUST2543,Ananya More,35,Male,Nagpur,Headphones,Electronics,5,2500,0.0,Cash,2025-10-13,12500.0
ORD10172,CUST1111,Riya Patil,52,Female,Chennai,Laptop,Electronics,4,55000,0.0,UPI,2025-04-27,220000.0
ORD10173,CUST2666,Kavya Verma,56,Female,Delhi,Mouse,Accessories,1,900,0.1,Debit Card,2025-11-23,810.0
ORD10174,CUST2985,Amit Kulkarni,65,Male,Hyderabad,Laptop,Electronics,4,55000,0.05,Cash,2025-10-15,209000.0
ORD10175,CUST2156,Vikram Joshi,39,Male,Nagpur,Smartwatch,Electronics,3,6000,0.1,UPI,2025-06-26,16200.0
ORD10176,CUST1520,Vikram Gupta,20,Male,Nagpur,Laptop,Electronics,2,55000,0.1,Net Banking,2025-06-19,99000.0
ORD10177,CUST2918,Amit Patil,23,Female,Bengaluru,Laptop,Electronics,2,55000,0.0,Net Banking,2025-07-17,110000.0
ORD10178,CUST2329,Arjun Deshmukh,53,Male,Ahmedabad,Mobile Phone,Electronics,4,25000,0.15,Debit Card,2025-07-12,85000.0
ORD10179,CUST2053,Pooja Verma,33,Male,Nashik,Mobile Phone,Electronics,1,25000,0.1,Credit Card,2025-04-05,22500.0
ORD10180,CUST1850,Suresh Khan,20,Female,Chennai,Monitor,Electronics,3,14000,0.1,Net Banking,2025-02-27,37800.0
ORD10181,CUST2847,Priya Joshi,53,Male,Nagpur,Tablet,Electronics,4,22000,0.1,Debit Card,2025-06-14,79200.0
ORD10182,CUST1933,Rahul Gupta,28,Male,Delhi,Mouse,Accessories,4,900,0.1,Credit Card,2025-05-20,3240.0
ORD10183,CUST2375,Pooja Shah,34,Female,Pune,Laptop,Electronics,2,55000,0.05,Net Banking,2025-08-13,104500.0
ORD10184,CUST2542,Rahul More,36,Female,Pune,Laptop,Electronics,3,55000,0.05,UPI,2025-04-13,156750.0
ORD10185,CUST2516,Riya Shah,25,Male,Chennai,Headphones,Electronics,1,2500,0.1,UPI,2025-05-25,2250.0
ORD10186,CUST1408,Aarav Shah,31,Male,Hyderabad,Mobile Phone,Electronics,2,25000,0.05,Net Banking,2025-03-26,47500.0
ORD10187,CUST2532,Amit Shah,43,Female,Pune,Mouse,Accessories,4,900,0.05,UPI,2025-09-26,3420.0
ORD10188,CUST1624,Neha Gupta,65,Female,Bengaluru,Camera,Electronics,2,35000,0.1,UPI,2025-04-26,63000.0
ORD10189,CUST2129,Riya Shah,42,Male,Mumbai,Monitor,Electronics,2,14000,0.1,Debit Card,2025-01-05,25200.0
ORD10190,CUST1719,Kavya Gupta,65,Female,Pune,Tablet,Electronics,5,22000,0.0,Credit Card,2025-10-02,110000.0
ORD10191,CUST1552,Aditya Sharma,27,Female,Ahmedabad,Keyboard,Accessories,2,1800,0.05,Net Banking,2025-07-06,3420.0
ORD10192,CUST1780,Riya Pawar,49,Male,Delhi,Tablet,Electronics,2,22000,0.05,UPI,2025-04-28,41800.0
ORD10193,CUST1320,Priya Shah,32,Male,Delhi,Smartwatch,Electronics,3,6000,0.0,UPI,2025-10-12,18000.0
ORD10194,CUST2070,Arjun Pawar,21,Female,Mumbai,Laptop,Electronics,2,55000,0.05,Net Banking,2025-07-09,104500.0
ORD10195,CUST2265,Pooja Verma,45,Male,Delhi,Monitor,Electronics,1,14000,0.0,Credit Card,2025-10-15,14000.0
ORD10196,CUST2294,Amit Singh,21,Female,Hyderabad,Smartwatch,Electronics,4,6000,0.2,Debit Card,2025-01-19,19200.0
ORD10197,CUST1667,Ananya Singh,30,Female,Nashik,Mouse,Accessories,3,900,0.1,Net Banking,2025-04-11,2430.0
ORD10198,CUST1628,Amit Patil,29,Female,Mumbai,Keyboard,Accessories,2,1800,0.0,UPI,2025-06-12,3600.0
ORD10199,CUST2061,Suresh More,32,Male,Delhi,Mobile Phone,Electronics,1,25000,0.0,UPI,2025-02-25,25000.0
ORD10200,CUST2229,Aditya Khan,46,Female,Bengaluru,Monitor,Electronics,4,14000,0.1,Credit Card,2025-12-07,50400.0
ORD10201,CUST2785,Rohan Joshi,40,Male,Chennai,Monitor,Electronics,3,14000,0.05,Credit Card,2025-09-16,39900.0
ORD10202,CUST2510,Rohan Sharma,30,Male,Kolkata,Laptop,Electronics,1,55000,0.15,UPI,2025-03-12,46750.0
ORD10203,CUST2134,Sneha More,55,Male,Ahmedabad,Printer,Office,2,12000,0.15,UPI,2025-03-14,20400.0
ORD10204,CUST2510,Suresh Khan,63,Female,Chennai,Monitor,Electronics,5,14000,0.1,Debit Card,2025-12-09,63000.0
ORD10205,CUST2342,Pooja Khan,52,Male,Hyderabad,Headphones,Electronics,5,2500,0.0,UPI,2025-12-15,12500.0
ORD10206,CUST2859,Riya Singh,57,Female,Kolkata,Keyboard,Accessories,3,1800,0.15,Credit Card,2025-02-27,4590.0
ORD10207,CUST2616,Ananya Joshi,29,Male,Kolkata,Keyboard,Accessories,1,1800,0.2,UPI,2025-12-11,1440.0
